graph,N,M,L_hat,E_hat
baseline_exclusive_removed,12693,15026,106.6539524560021,0.01738859395446832
with_superloop,12693,15201,48.20992383653745,0.027880630651649183
delta,0,175,-58.44402861946465,0.010492036697180861
